doc_id	token	lemma	upos
emma	EMMA	Emma	PROPN
emma	By	by	ADP
emma	Jane	Jane	PROPN
emma	Austen	Austen	PROPN
emma	VOLUME	volume	PROPN
emma	I	I	PRON
emma	CHAPTER	chapter	PROPN
emma	I	I	PRON
emma	Emma	Emma	PROPN
emma	Woodhouse	Woodhouse	PROPN
emma	,	,	PUNCT
emma	handsome	handsome	NOUN
emma	,	,	PUNCT
emma	clever	clever	NOUN
emma	,	,	PUNCT
emma	and	and	CCONJ
emma	rich	rich	ADJ
emma	,	,	PUNCT
emma	with	with	ADP
emma	a	a	DET
emma	comfortable	comfortable	ADJ
emma	home	home	NOUN
emma	and	and	CCONJ
emma	happy	happy	ADJ
emma	disposition	disposition	NOUN
emma	,	,	PUNCT
emma	seemed	seem	VERB
emma	to	to	PART
emma	unite	unite	VERB
emma	some	some	DET
emma	of	of	ADP
emma	the	the	DET
emma	best	best	ADJ
emma	blessings	blessing	NOUN
emma	of	of	ADP
emma	existence	existence	NOUN
emma	;	;	PUNCT
emma	and	and	CCONJ
emma	had	have	AUX
emma	lived	liv	VERB
emma	nearly	nearly	ADV
emma	twenty-one	twenty-one	NUM
emma	years	year	NOUN
emma	in	in	ADP
emma	the	the	DET
emma	world	world	NOUN
emma	with	with	ADP
emma	very	very	ADV
emma	little	little	ADJ
emma	to	to	PART
emma	distress	distress	VERB
emma	or	or	CCONJ
emma	vex	vex	VERB
emma	her	she	PRON
emma	.	.	PUNCT
emma	She	she	PRON
emma	was	be	AUX
emma	the	the	DET
emma	youngest	youngest	ADJ
emma	of	of	ADP
emma	the	the	DET
emma	two	two	NUM
emma	daughters	daughter	NOUN
emma	of	of	ADP
emma	a	a	DET
emma	most	most	ADV
emma	affectionate	affectionate	ADJ
emma	,	,	PUNCT
emma	indulgent	indulgent	ADJ
emma	father	father	NOUN
emma	;	;	PUNCT
emma	and	and	CCONJ
emma	had	have	VERB
emma	,	,	PUNCT
emma	in	in	ADP
emma	consequence	consequence	NOUN
emma	of	of	ADP
emma	her	she	PRON
emma	sister	sister	NOUN
emma	's	's	PART
emma	marriage	marriage	NOUN
emma	,	,	PUNCT
emma	been	be	AUX
emma	mistress	mistress	NOUN
emma	of	of	ADP
emma	his	he	PRON
emma	house	house	NOUN
emma	from	from	ADP
emma	a	a	DET
emma	very	very	ADV
emma	early	early	ADJ
emma	period	period	NOUN
emma	.	.	PUNCT
emma	Her	she	PRON
emma	mother	mother	NOUN
emma	had	have	AUX
emma	died	die	VERB
emma	too	too	ADV
emma	long	long	ADV
emma	ago	ago	ADV
emma	for	for	ADP
emma	her	she	PRON
emma	to	to	PART
emma	have	have	VERB
emma	more	more	ADJ
emma	than	than	ADP
emma	an	a	DET
emma	indistinct	indistinct	ADJ
emma	remembrance	remembrance	NOUN
emma	of	of	ADP
emma	her	she	PRON
emma	caresses	caress	NOUN
emma	;	;	PUNCT
emma	and	and	CCONJ
emma	her	she	PRON
emma	place	place	NOUN
emma	had	have	AUX
emma	been	be	AUX
emma	supplied	supply	VERB
emma	by	by	ADP
emma	an	a	DET
emma	excellent	excellent	ADJ
emma	woman	woman	NOUN
emma	as	as	ADP
emma	governess	governess	NOUN
emma	,	,	PUNCT
emma	who	who	PRON
emma	had	have	AUX
emma	fallen	fall	VERB
emma	little	little	ADJ
emma	short	short	ADJ
emma	of	of	ADP
emma	a	a	DET
emma	mother	mother	NOUN
emma	in	in	ADP
emma	affection	affection	NOUN
emma	.	.	PUNCT
emma	Sixteen	sixteen	NUM
emma	years	year	NOUN
emma	had	have	AUX
emma	Miss	miss	PROPN
emma	Taylor	Taylor	PROPN
emma	been	be	AUX
emma	in	in	ADP
emma	Mr	Mr	PROPN
emma	.	.	PUNCT
emma	Woodhouse	Woodhouse	PROPN
emma	's	's	PART
emma	family	family	NOUN
emma	,	,	PUNCT
emma	less	less	ADJ
emma	as	as	ADP
emma	a	a	DET
emma	governess	governess	NOUN
emma	than	than	ADP
emma	a	a	DET
emma	friend	friend	NOUN
emma	,	,	PUNCT
emma	very	very	ADV
emma	fond	fond	ADP
emma	of	of	ADP
emma	both	both	DET
emma	daughters	daughter	NOUN
emma	,	,	PUNCT
emma	but	but	CCONJ
emma	particularly	particularly	ADV
emma	of	of	ADP
emma	Emma	Emma	PROPN
emma	.	.	PUNCT
emma	Between	between	ADP
emma	them	they	PRON
emma	it	it	PRON
emma	was	be	AUX
emma	more	more	ADJ
emma	the	the	DET
emma	intimacy	intimacy	NOUN
emma	of	of	ADP
emma	sisters	sister	NOUN
emma	.	.	PUNCT
emma	Even	even	ADV
emma	before	before	ADP
emma	Miss	miss	PROPN
emma	Taylor	Taylor	PROPN
emma	had	have	AUX
emma	ceased	cease	VERB
emma	to	to	PART
emma	hold	hold	VERB
emma	the	the	DET
emma	nominal	nominal	ADJ
emma	office	office	NOUN
emma	of	of	ADP
emma	governess	governess	NOUN
emma	,	,	PUNCT
emma	the	the	DET
emma	mildness	mildness	NOUN
emma	of	of	ADP
emma	her	she	PRON
emma	temper	temper	NOUN
emma	had	have	AUX
emma	hardly	hardly	ADV
emma	allowed	allow	VERB
emma	her	she	PRON
emma	to	to	PART
emma	impose	impose	VERB
emma	any	any	DET
