doc_id	token	lemma	upos
pride	PRIDE	pride	NOUN
pride	AND	and	CCONJ
pride	PREJUDICE	prejudice	NOUN
pride	By	by	ADP
pride	Jane	Jane	PROPN
pride	Austen	Austen	PROPN
pride	Chapter	chapter	PROPN
pride	1	1	NUM
pride	It	it	PRON
pride	is	be	AUX
pride	a	a	DET
pride	truth	truth	NOUN
pride	universally	universally	ADV
pride	acknowledged	acknowledge	VERB
pride	,	,	PUNCT
pride	that	that	PRON
pride	a	a	DET
pride	single	single	ADJ
pride	man	man	NOUN
pride	in	in	ADP
pride	possession	possession	NOUN
pride	of	of	ADP
pride	a	a	DET
pride	good	good	ADJ
pride	fortune	fortune	NOUN
pride	,	,	PUNCT
pride	must	must	AUX
pride	be	be	AUX
pride	in	in	ADP
pride	want	want	NOUN
pride	of	of	ADP
pride	a	a	DET
pride	wife	wife	NOUN
pride	.	.	PUNCT
pride	However	however	ADV
pride	little	little	ADV
pride	known	know	VERB
pride	the	the	DET
pride	feelings	feeling	NOUN
pride	or	or	CCONJ
pride	views	view	NOUN
pride	of	of	ADP
pride	such	such	DET
pride	a	a	DET
pride	man	man	NOUN
pride	may	may	AUX
pride	be	be	AUX
pride	on	on	ADP
pride	his	he	PRON
pride	first	first	ADV
pride	entering	enter	VERB
pride	a	a	DET
pride	neighbourhood	neighbourhood	NOUN
pride	,	,	PUNCT
pride	this	this	DET
pride	truth	truth	NOUN
pride	is	be	AUX
pride	so	so	ADV
pride	well	well	ADV
pride	fixed	fix	VERB
pride	in	in	ADP
pride	the	the	DET
pride	minds	mind	NOUN
pride	of	of	ADP
pride	the	the	DET
pride	surrounding	surround	VERB
pride	families	family	NOUN
pride	,	,	PUNCT
pride	that	that	SCONJ
pride	he	he	PRON
pride	is	be	AUX
pride	considered	consider	VERB
pride	the	the	DET
pride	rightful	rightful	ADJ
pride	property	property	NOUN
pride	of	of	ADP
pride	some	some	DET
pride	one	one	NUM
pride	or	or	CCONJ
pride	other	other	ADJ
pride	of	of	ADP
pride	their	they	PRON
pride	daughters	daughter	NOUN
pride	.	.	PUNCT
pride	"	"	PUNCT
pride	My	my	PRON
pride	dear	dear	ADJ
pride	Mr	Mr	PROPN
pride	.	.	PUNCT
pride	Bennet	Bennet	PROPN
pride	,	,	PUNCT
pride	"	"	PUNCT
pride	said	say	VERB
pride	his	he	PRON
pride	lady	lady	NOUN
pride	to	to	ADP
pride	him	he	PRON
pride	one	one	NUM
pride	day	day	NOUN
pride	,	,	PUNCT
pride	"	"	PUNCT
pride	have	have	AUX
pride	you	you	PRON
pride	heard	hear	VERB
pride	that	that	SCONJ
pride	Netherfield	Netherfield	PROPN
pride	Park	Park	PROPN
pride	is	be	AUX
pride	let	let	VERB
pride	at	at	ADP
pride	last	last	ADJ
pride	?	?	PUNCT
pride	"	"	PUNCT
pride	Mr	Mr	PROPN
pride	.	.	PUNCT
pride	Bennet	Bennet	PROPN
pride	replied	reply	VERB
pride	that	that	SCONJ
pride	he	he	PRON
pride	had	have	VERB
pride	not	not	PART
pride	.	.	PUNCT
pride	"	"	PUNCT
pride	But	but	CCONJ
pride	it	it	PRON
pride	is	be	AUX
pride	,	,	PUNCT
pride	"	"	PUNCT
pride	returned	return	VERB
pride	she	she	PRON
pride	;	;	PUNCT
pride	"	"	PUNCT
pride	for	for	ADP
pride	Mrs	Mrs	PROPN
pride	.	.	PUNCT
pride	Long	long	PROPN
pride	has	have	AUX
pride	just	just	ADV
pride	been	be	AUX
pride	here	here	ADV
pride	,	,	PUNCT
pride	and	and	CCONJ
pride	she	she	PRON
pride	told	tell	VERB
pride	me	I	PRON
pride	all	all	DET
pride	about	about	ADP
pride	it	it	PRON
pride	.	.	PUNCT
pride	"	"	PUNCT
pride	Mr	Mr	PROPN
pride	.	.	PUNCT
pride	Bennet	Bennet	PROPN
pride	made	make	VERB
pride	no	no	DET
pride	answer	answer	NOUN
pride	.	.	PUNCT
pride	"	"	PUNCT
pride	Do	do	AUX
pride	you	you	PRON
pride	not	not	PART
pride	want	want	VERB
pride	to	to	PART
pride	know	know	VERB
pride	who	who	PRON
pride	has	have	AUX
pride	taken	take	VERB
pride	it	it	PRON
pride	?	?	PUNCT
pride	"	"	PUNCT
pride	cried	cry	VERB
pride	his	he	PRON
pride	wife	wife	NOUN
pride	impatiently	impatiently	ADV
pride	.	.	PUNCT
pride	"	"	PUNCT
pride	You	you	PRON
pride	want	want	VERB
pride	to	to	PART
pride	tell	tell	VERB
pride	me	I	PRON
pride	,	,	PUNCT
pride	and	and	CCONJ
pride	I	I	PRON
pride	have	have	VERB
pride	no	no	DET
pride	objection	objection	NOUN
pride	to	to	SCONJ
pride	hearing	hear	VERB
pride	it	it	PRON
pride	.	.	PUNCT
pride	"	"	PUNCT
pride	This	this	PRON
pride	was	be	AUX
pride	invitation	invitation	NOUN
pride	enough	enough	ADJ
pride	.	.	PUNCT
pride	"	"	PUNCT
pride	Why	why	ADV
pride	,	,	PUNCT
pride	my	my	PRON
pride	dear	dear	NOUN
pride	,	,	PUNCT
pride	you	you	PRON
pride	must	must	AUX
pride	know	know	VERB
pride	,	,	PUNCT
pride	Mrs	Mrs	PROPN
pride	.	.	PUNCT
pride	Long	Long	PROPN
pride	says	say	VERB
pride	that	that	SCONJ
pride	Netherfield	Netherfield	PROPN
pride	is	be	AUX
pride	taken	take	VERB
pride	by	by	ADP
pride	a	a	DET
pride	young	young	ADJ
pride	man	man	NOUN
pride	of	of	ADP
pride	large	large	ADJ
pride	fortune	fortune	NOUN
pride	from	from	ADP
pride	the	the	DET
pride	north	north	NOUN
pride	of	of	ADP
pride	England	England	PROPN
pride	;	;	PUNCT
pride	that	that	SCONJ
pride	he	he	PRON
pride	came	come	VERB
pride	down	down	ADV
pride	on	on	ADP
pride	Monday	Monday	PROPN
pride	in	in	ADP
pride	a	a	DET
pride	chaise	chaise	NOUN
pride	and	and	CCONJ
pride	four	four	NUM
pride	to	to	PART
pride	see	see	VERB
pride	the	the	DET
pride	place	place	NOUN
pride	,	,	PUNCT
pride	and	and	CCONJ
pride	was	be	AUX
pride	so	so	ADV
pride	much	much	ADV
pride	delighted	delighted	ADJ
pride	with	with	ADP
pride	it	it	PRON
pride	,	,	PUNCT
pride	that	that	SCONJ
pride	he	he	PRON
pride	agreed	agree	VERB
pride	with	with	ADP
pride	Mr	Mr	PROPN
pride	.	.	PUNCT
pride	Morris	Morris	PROPN
pride	immediately	immediately	ADV
pride	;	;	PUNCT
pride	that	that	SCONJ
pride	he	he	PRON
pride	is	be	VERB
pride	to	to	PART
pride	take	take	VERB
pride	possession	possession	NOUN
pride	before	before	ADP
pride	Michaelmas	Michaelmas	PROPN
pride	,	,	PUNCT
pride	and	and	CCONJ
pride	some	some	DET
pride	of	of	ADP
pride	his	he	PRON
pride	servants	servants	NOUN
pride	are	be	VERB
pride	to	to	PART
pride	be	be	AUX
pride	in	in	ADP
pride	the	the	DET
pride	house	house	NOUN
pride	by	by	ADP
pride	the	the	DET
pride	end	end	NOUN
pride	of	of	ADP
pride	next	next	ADJ
pride	week	week	NOUN
pride	.	.	PUNCT
pride	"	"	PUNCT
pride	"	"	PUNCT
pride	What	what	PRON
pride	is	be	AUX
pride	his	he	PRON
pride	name	name	NOUN
pride	?	?	PUNCT
pride	"	"	PUNCT
pride	"	"	PUNCT
pride	Bingley	Bingley	PROPN
pride	.	.	PUNCT
pride	"	"	PUNCT
pride	"	"	PUNCT
pride	Is	be	AUX
pride	he	he	PRON
pride	married	marry	VERB
pride	or	or	CCONJ
pride	single	single	ADJ
pride	?	?	PUNCT
pride	"	"	PUNCT
pride	"	"	PUNCT
pride	Oh	oh	INTJ
pride	!	!	PUNCT
pride	Single	single	PROPN
pride	,	,	PUNCT
pride	my	my	PRON
pride	dear	dear	ADJ
pride	,	,	PUNCT
pride	to	to	PART
pride	be	be	AUX
pride	sure	sure	ADJ
pride	!	!	PUNCT
pride	A	a	DET
pride	single	single	ADJ
pride	man	man	NOUN
pride	of	of	ADP
pride	large	large	ADJ
pride	fortune	fortune	NOUN
pride	;	;	PUNCT
pride	four	four	NUM
pride	or	or	CCONJ
pride	five	five	NUM
pride	thousand	thousand	NUM
pride	a	a	DET
pride	year	year	NOUN
pride	.	.	PUNCT
pride	What	what	PRON
pride	a	a	DET
pride	fine	fine	ADJ
pride	thing	thing	NOUN
pride	for	for	ADP
pride	our	we	PRON
pride	girls	girl	NOUN
pride	!	!	PUNCT
pride	"	"	PUNCT
pride	"	"	PUNCT
pride	How	how	ADV
pride	so	so	ADV
pride	?	?	PUNCT
pride	How	how	ADV
pride	can	can	AUX
pride	it	it	PRON
pride	affect	affect	VERB
pride	them	they	PRON
pride	?	?	PUNCT
pride	"	"	PUNCT
pride	"	"	PUNCT
pride	My	my	PRON
pride	dear	dear	ADJ
pride	Mr	Mr	NOUN
pride	.	.	PUNCT
pride	Bennet	Bennet	NOUN
pride	,	,	PUNCT
pride	"	"	PUNCT
pride	replied	reply	VERB
pride	his	he	PRON
pride	wife	wife	NOUN
pride	,	,	PUNCT
pride	"	"	PUNCT
pride	how	how	ADV
pride	can	can	AUX
pride	you	you	PRON
pride	be	be	AUX
pride	so	so	ADV
pride	tiresome	tiresome	ADJ
pride	!	!	PUNCT
pride	You	you	PRON
pride	must	must	AUX
pride	know	know	VERB
pride	that	that	SCONJ
pride	I	I	PRON
pride	am	be	AUX
pride	thinking	think	VERB
pride	of	of	ADP
pride	his	he	PRON
pride	marrying	marry	NOUN
pride	one	one	NUM
pride	of	of	ADP
pride	them	they	PRON
pride	.	.	PUNCT
pride	"	"	PUNCT
pride	"	"	PUNCT
pride	Is	be	AUX
pride	that	that	PRON
pride	his	he	PRON
pride	design	design	NOUN
pride	in	in	SCONJ
pride	settling	settling	VERB
pride	here	here	ADV
pride	?	?	PUNCT
pride	"	"	PUNCT
pride	"	"	PUNCT
pride	Design	design	NOUN
pride	!	!	PUNCT
pride	Nonsense	Nonsense	NOUN
pride	,	,	PUNCT
pride	how	how	ADV
pride	can	can	AUX
pride	you	you	PRON
pride	talk	talk	VERB
pride	so	so	ADV
pride	!	!	PUNCT
pride	But	but	CCONJ
pride	it	it	PRON
pride	is	be	AUX
pride	very	very	ADV
pride	likely	likely	ADJ
pride	that	that	SCONJ
pride	he	he	PRON
pride	may	may	AUX
pride	fall	fall	VERB
pride	in	in	ADP
pride	love	love	NOUN
pride	with	with	ADP
pride	one	one	NUM
pride	of	of	ADP
pride	them	they	PRON
pride	,	,	PUNCT
pride	and	and	CCONJ
pride	therefore	therefore	ADV
pride	you	you	PRON
pride	must	must	AUX
pride	visit	visit	VERB
pride	him	he	PRON
pride	as	as	ADV
pride	soon	soon	ADV
pride	as	as	SCONJ
pride	he	he	PRON
pride	comes	come	VERB
pride	.	.	PUNCT
pride	"	"	PUNCT
pride	"	"	PUNCT
pride	I	I	PRON
pride	see	see	VERB
pride	no	no	DET
pride	occasion	occasion	NOUN
pride	for	for	ADP
pride	that	that	PRON
pride	.	.	PUNCT
pride	You	you	PRON
pride	and	and	CCONJ
pride	the	the	DET
pride	girls	girl	NOUN
pride	may	may	AUX
pride	go	go	VERB
pride	,	,	PUNCT
pride	or	or	CCONJ
pride	you	you	PRON
pride	may	may	AUX
pride	send	send	VERB
pride	them	they	PRON
pride	by	by	ADP
pride	themselves	themselves	PRON
pride	,	,	PUNCT
pride	which	which	PRON
pride	perhaps	perhaps	ADV
pride	will	will	AUX
pride	be	be	AUX
pride	still	still	ADV
pride	better	better	ADJ
pride	,	,	PUNCT
pride	for	for	ADP
pride	as	as	SCONJ
pride	you	you	PRON
pride	are	be	AUX
pride	as	as	ADV
pride	handsome	handsome	ADJ
pride	as	as	ADP
pride	any	any	DET
pride	of	of	ADP
pride	them	they	PRON
pride	,	,	PUNCT
pride	Mr	Mr	PROPN
pride	.	.	PUNCT
pride	Bingley	Bingley	PROPN
pride	may	may	AUX
pride	like	like	VERB
pride	you	you	PRON
pride	the	the	DET
pride	best	best	ADJ
pride	of	of	ADP
pride	the	the	DET
pride	party	party	NOUN
pride	.	.	PUNCT
pride	"	"	PUNCT
pride	"	"	PUNCT
pride	My	my	PRON
pride	dear	dear	NOUN
pride	,	,	PUNCT
pride	you	you	PRON
pride	flatter	flatter	VERB
pride	me	I	PRON
pride	.	.	PUNCT
pride	I	I	PRON
pride	certainly	certainly	ADV
pride	have	have	AUX
pride	had	have	VERB
pride	my	my	PRON
pride	share	share	NOUN
pride	of	of	ADP
pride	beauty	beauty	NOUN
pride	,	,	PUNCT
pride	but	but	CCONJ
pride	I	I	PRON
pride	do	do	AUX
pride	not	not	PART
pride	pretend	pretend	VERB
pride	to	to	PART
pride	be	be	AUX
pride	anything	anything	PRON
pride	extraordinary	extraordinary	ADJ
pride	now	now	ADV
pride	.	.	PUNCT
pride	When	when	ADV
pride	a	a	DET
pride	woman	woman	NOUN
pride	has	have	VERB
pride	five	five	NUM
pride	grown-up	grown-up	NOUN
pride	daughters	daughter	NOUN
pride	,	,	PUNCT
pride	she	she	PRON
pride	ought	ought	AUX
pride	to	to	PART
pride	give	give	VERB
pride	over	over	SCONJ
pride	thinking	thinking	VERB
pride	of	of	ADP
pride	her	she	PRON
pride	own	own	ADJ
pride	beauty	beauty	NOUN
pride	.	.	PUNCT
pride	"	"	PUNCT
pride	"	"	PUNCT
pride	In	in	ADP
pride	such	such	ADJ
pride	cases	case	NOUN
pride	,	,	PUNCT
pride	a	a	DET
pride	woman	woman	NOUN
pride	has	have	AUX
pride	not	not	PART
pride	often	often	ADV
pride	much	much	ADJ
pride	beauty	beauty	NOUN
pride	to	to	PART
pride	think	think	VERB
pride	of	of	ADP
pride	.	.	PUNCT
pride	"	"	PUNCT
pride	"	"	PUNCT
pride	But	but	CCONJ
pride	,	,	PUNCT
pride	my	my	PRON
pride	dear	dear	NOUN
pride	,	,	PUNCT
pride	you	you	PRON
pride	must	must	AUX
pride	indeed	indeed	ADV
pride	go	go	VERB
pride	and	and	CCONJ
pride	see	see	VERB
pride	Mr	Mr	PROPN
pride	.	.	PUNCT
pride	Bingley	Bingley	PROPN
pride	when	when	ADV
pride	he	he	PRON
pride	comes	come	VERB
pride	into	into	ADP
pride	the	the	DET
pride	neighbourhood	neighbourhood	NOUN
pride	.	.	PUNCT
pride	"	"	PUNCT
pride	"	"	PUNCT
pride	It	it	PRON
pride	is	be	AUX
pride	more	more	ADJ
pride	than	than	SCONJ
pride	I	I	PRON
pride	engage	engage	VERB
pride	for	for	ADP
pride	,	,	PUNCT
pride	I	I	PRON
pride	assure	assure	VERB
pride	you	you	PRON
pride	.	.	PUNCT
pride	"	"	PUNCT
pride	"	"	PUNCT
pride	But	but	CCONJ
pride	consider	consider	VERB
pride	your	you	PRON
pride	daughters	daughter	NOUN
pride	.	.	PUNCT
pride	Only	only	ADV
pride	think	think	VERB
pride	what	what	PRON
pride	an	a	DET
pride	establishment	establishment	NOUN
pride	it	it	PRON
pride	would	would	AUX
pride	be	be	AUX
pride	for	for	ADP
pride	one	one	NUM
pride	of	of	ADP
pride	them	they	PRON
pride	.	.	PUNCT
pride	Sir	Sir	PROPN
pride	William	William	PROPN
pride	and	and	CCONJ
pride	Lady	Lady	PROPN
pride	Lucas	Lucas	PROPN
pride	are	be	AUX
pride	determined	determined	ADJ
pride	to	to	PART
pride	go	go	VERB
pride	,	,	PUNCT
pride	merely	merely	ADV
pride	on	on	ADP
pride	that	that	DET
pride	account	account	NOUN
pride	,	,	PUNCT
pride	for	for	ADP
pride	in	in	ADP
pride	general	general	ADJ
pride	,	,	PUNCT
pride	you	you	PRON
pride	know	know	VERB
pride	,	,	PUNCT
pride	they	they	PRON
pride	visit	visit	VERB
pride	no	no	DET
pride	newcomers	newcomer	NOUN
pride	.	.	PUNCT
pride	Indeed	indeed	ADV
pride	you	you	PRON
pride	must	must	AUX
pride	go	go	VERB
pride	,	,	PUNCT
pride	for	for	SCONJ
pride	it	it	PRON
pride	will	will	AUX
pride	be	be	AUX
pride	impossible	impossible	ADJ
pride	for	for	SCONJ
pride	us	we	PRON
pride	to	to	PART
pride	visit	visit	VERB
pride	him	he	PRON
pride	if	if	SCONJ
pride	you	you	PRON
pride	do	do	AUX
pride	not	not	PART
pride	.	.	PUNCT
pride	"	"	PUNCT
pride	"	"	PUNCT
pride	You	you	PRON
pride	are	be	AUX
pride	over-scrupulous	over-scrupulous	ADJ
pride	,	,	PUNCT
pride	surely	surely	ADV
pride	.	.	PUNCT
pride	I	I	PRON
pride	dare	dare	VERB
pride	say	say	INTJ
pride	Mr	Mr	PROPN
pride	.	.	PUNCT
pride	Bingley	Bingley	PROPN
pride	will	will	AUX
pride	be	be	AUX
pride	very	very	ADV
pride	glad	glad	ADJ
pride	to	to	PART
pride	see	see	VERB
pride	you	you	PRON
pride	;	;	PUNCT
pride	and	and	CCONJ
pride	I	I	PRON
pride	will	will	AUX
pride	send	send	VERB
pride	a	a	DET
pride	few	few	ADJ
pride	lines	line	NOUN
pride	by	by	ADP
pride	you	you	PRON
pride	to	to	PART
pride	assure	assure	VERB
pride	him	he	PRON
pride	of	of	ADP
pride	my	my	PRON
pride	hearty	hearty	NOUN
pride	consent	consent	VERB
pride	to	to	ADP
pride	his	he	PRON
pride	marrying	marry	VERB
pride	whichever	whichever	PRON
pride	he	he	PRON
pride	chooses	choose	VERB
pride	of	of	ADP
pride	the	the	DET
pride	girls	girl	NOUN
pride	;	;	PUNCT
pride	though	though	SCONJ
pride	I	I	PRON
pride	must	must	AUX
pride	throw	throw	VERB
pride	in	in	ADP
pride	a	a	DET
pride	good	good	ADJ
pride	word	word	NOUN
pride	for	for	ADP
pride	my	my	PRON
pride	little	little	ADJ
pride	Lizzy	Lizzy	PROPN
