doc_id	token	lemma	upos
sense	SENSE	sense	NOUN
sense	AND	and	CCONJ
sense	SENSIBILITY	SENSIBILITy	NOUN
sense	by	by	ADP
sense	Jane	Jane	PROPN
sense	Austen	Austen	PROPN
sense	(	(	PUNCT
sense	1811	1811	NUM
sense	)	)	PUNCT
sense	CHAPTER	chapter	NOUN
sense	1	1	NUM
sense	The	the	DET
sense	family	family	NOUN
sense	of	of	ADP
sense	Dashwood	Dashwood	PROPN
sense	had	have	AUX
sense	long	long	ADV
sense	been	be	AUX
sense	settled	settle	VERB
sense	in	in	ADP
sense	Sussex	sussex	PROPN
sense	.	.	PUNCT
sense	Their	they	PRON
sense	estate	estate	NOUN
sense	was	be	AUX
sense	large	large	ADJ
sense	,	,	PUNCT
sense	and	and	CCONJ
sense	their	they	PRON
sense	residence	residence	NOUN
sense	was	be	AUX
sense	at	at	ADP
sense	Norland	Norland	PROPN
sense	Park	Park	PROPN
sense	,	,	PUNCT
sense	in	in	ADP
sense	the	the	DET
sense	centre	centre	NOUN
sense	of	of	ADP
sense	their	they	PRON
sense	property	property	NOUN
sense	,	,	PUNCT
sense	where	where	ADV
sense	,	,	PUNCT
sense	for	for	ADP
sense	many	many	ADJ
sense	generations	generation	NOUN
sense	,	,	PUNCT
sense	they	they	PRON
sense	had	have	AUX
sense	lived	live	VERB
sense	in	in	ADP
sense	so	so	ADV
sense	respectable	respectable	ADJ
sense	a	a	DET
sense	manner	manner	NOUN
sense	as	as	SCONJ
sense	to	to	PART
sense	engage	engage	VERB
sense	the	the	DET
sense	general	general	ADJ
sense	good	good	ADJ
sense	opinion	opinion	NOUN
sense	of	of	ADP
sense	their	they	PRON
sense	surrounding	surround	NOUN
sense	acquaintance	acquaintance	NOUN
sense	.	.	PUNCT
sense	The	the	DET
sense	late	late	ADJ
sense	owner	owner	NOUN
sense	of	of	ADP
sense	this	this	DET
sense	estate	estate	NOUN
sense	was	be	AUX
sense	a	a	DET
sense	single	single	ADJ
sense	man	man	NOUN
sense	,	,	PUNCT
sense	who	who	PRON
sense	lived	live	VERB
sense	to	to	ADP
sense	a	a	DET
sense	very	very	ADV
sense	advanced	advanced	ADJ
sense	age	age	NOUN
sense	,	,	PUNCT
sense	and	and	CCONJ
sense	who	who	PRON
sense	for	for	ADP
sense	many	many	ADJ
sense	years	year	NOUN
sense	of	of	ADP
sense	his	he	PRON
sense	life	life	NOUN
sense	,	,	PUNCT
sense	had	have	VERB
sense	a	a	DET
sense	constant	constant	ADJ
sense	companion	companion	NOUN
sense	and	and	CCONJ
sense	housekeeper	housekeeper	NOUN
sense	in	in	ADP
sense	his	he	PRON
