doc_id	token	lemma	upos
grey	AGNES	Agne	AUX
grey	GREY	grey	ADJ
grey	.	.	PUNCT
grey	CHAPTER	chapter	NOUN
grey	I	I	PRON
grey	—	-	PUNCT
grey	THE	the	DET
grey	PARSONAGE	Parsonage	NOUN
grey	All	all	DET
grey	true	true	ADJ
grey	histories	histories	NOUN
grey	contain	contain	VERB
grey	instruction	instruction	NOUN
grey	;	;	PUNCT
grey	though	though	ADV
grey	,	,	PUNCT
grey	in	in	ADP
grey	some	some	DET
grey	,	,	PUNCT
grey	the	the	DET
grey	treasure	treasure	NOUN
grey	may	may	AUX
grey	be	be	AUX
grey	hard	hard	ADJ
grey	to	to	PART
grey	find	find	VERB
grey	,	,	PUNCT
grey	and	and	CCONJ
grey	when	when	ADV
grey	found	find	VERB
grey	,	,	PUNCT
grey	so	so	ADV
grey	trivial	trivial	ADJ
grey	in	in	ADP
grey	quantity	quantity	NOUN
grey	,	,	PUNCT
grey	that	that	SCONJ
grey	the	the	DET
grey	dry	dry	NOUN
grey	,	,	PUNCT
grey	shrivelled	shrivell	VERB
grey	kernel	kernel	NOUN
grey	scarcely	scarcely	ADV
grey	compensates	compensate	VERB
grey	for	for	ADP
grey	the	the	DET
grey	trouble	trouble	NOUN
grey	of	of	SCONJ
grey	cracking	crack	VERB
grey	the	the	DET
grey	nut	nut	NOUN
grey	.	.	PUNCT
grey	Whether	whether	SCONJ
grey	this	this	PRON
grey	be	be	AUX
grey	the	the	DET
grey	case	case	NOUN
grey	with	with	ADP
grey	my	my	PRON
grey	history	history	NOUN
grey	or	or	CCONJ
grey	not	not	PART
grey	,	,	PUNCT
grey	I	I	PRON
grey	am	be	AUX
grey	hardly	hardly	ADV
grey	competent	competent	ADJ
grey	to	to	PART
grey	judge	judge	VERB
grey	.	.	PUNCT
grey	I	I	PRON
grey	sometimes	sometimes	ADV
grey	think	think	VERB
grey	it	it	PRON
grey	might	might	AUX
grey	prove	prove	VERB
grey	useful	useful	ADJ
grey	to	to	ADP
grey	some	some	DET
grey	,	,	PUNCT
grey	and	and	CCONJ
grey	entertaining	entertaine	VERB
grey	to	to	ADP
grey	others	other	NOUN
grey	;	;	PUNCT
grey	but	but	CCONJ
grey	the	the	DET
grey	world	world	NOUN
grey	may	may	AUX
grey	judge	judge	VERB
grey	for	for	ADP
grey	itself	itself	PRON
grey	.	.	PUNCT
grey	Shielded	Shield	VERB
grey	by	by	ADP
grey	my	my	PRON
grey	own	own	ADJ
grey	obscurity	obscurity	NOUN
grey	,	,	PUNCT
grey	and	and	CCONJ
grey	by	by	ADP
grey	the	the	DET
grey	lapse	lapse	NOUN
grey	of	of	ADP
grey	years	year	NOUN
grey	,	,	PUNCT
grey	and	and	CCONJ
grey	a	a	DET
grey	few	few	ADJ
grey	fictitious	fictitious	ADJ
grey	names	name	NOUN
grey	,	,	PUNCT
grey	I	I	PRON
grey	do	do	AUX
grey	not	not	PART
grey	fear	fear	VERB
grey	to	to	PART
grey	venture	venture	VERB
grey	;	;	PUNCT
grey	and	and	CCONJ
grey	will	will	AUX
grey	candidly	candidly	ADV
grey	lay	lay	VERB
grey	before	before	ADP
grey	the	the	DET
grey	public	public	NOUN
grey	what	what	PRON
grey	I	I	PRON
grey	would	would	AUX
grey	not	not	PART
grey	disclose	disclose	VERB
grey	to	to	ADP
grey	the	the	DET
grey	most	most	ADV
grey	intimate	intimate	ADJ
grey	friend	friend	NOUN
grey	.	.	PUNCT
grey	My	my	PRON
grey	father	father	NOUN
grey	was	be	AUX
grey	a	a	DET
grey	clergyman	clergyman	NOUN
grey	of	of	ADP
grey	the	the	DET
grey	north	north	NOUN
grey	of	of	ADP
grey	England	England	PROPN
grey	,	,	PUNCT
grey	who	who	PRON
grey	was	be	AUX
grey	deservedly	deservedly	ADV
grey	respected	respect	VERB
grey	by	by	ADP
