doc_id	token	lemma	upos
heights	WUTHERING	Wuther	ADP
heights	HEIGHTS	Heights	PROPN
heights	CHAPTER	chapter	PROPN
heights	I	I	PRON
heights	1801	1801	NUM
heights	.	.	PUNCT
heights	--	--	PUNCT
heights	I	I	PRON
heights	have	have	AUX
heights	just	just	ADV
heights	returned	return	VERB
heights	from	from	ADP
heights	a	a	DET
heights	visit	visit	NOUN
heights	to	to	ADP
heights	my	my	PRON
heights	landlord	landlord	NOUN
heights	--	--	PUNCT
heights	the	the	DET
heights	solitary	solitary	ADJ
heights	neighbour	neighbour	NOUN
heights	that	that	PRON
heights	I	I	PRON
heights	shall	shall	AUX
heights	be	be	AUX
heights	troubled	trouble	VERB
heights	with	with	ADP
heights	.	.	PUNCT
heights	This	this	PRON
heights	is	be	AUX
heights	certainly	certainly	ADV
heights	a	a	DET
heights	beautiful	beautiful	ADJ
heights	country	country	NOUN
heights	!	!	PUNCT
heights	In	in	ADP
heights	all	all	DET
heights	England	England	PROPN
heights	,	,	PUNCT
heights	I	I	PRON
heights	do	do	AUX
heights	not	not	PART
heights	believe	believe	VERB
heights	that	that	SCONJ
heights	I	I	PRON
heights	could	could	AUX
heights	have	have	AUX
heights	fixed	fix	VERB
heights	on	on	ADP
heights	a	a	DET
heights	situation	situation	NOUN
heights	so	so	ADV
heights	completely	completely	ADV
heights	removed	remove	VERB
heights	from	from	ADP
heights	the	the	DET
heights	stir	stir	NOUN
heights	of	of	ADP
heights	society	society	NOUN
heights	.	.	PUNCT
heights	A	a	DET
heights	perfect	perfect	ADJ
heights	misanthropist	misanthropist	NOUN
heights	's	's	PART
heights	heaven	heaven	NOUN
heights	:	:	PUNCT
heights	and	and	CCONJ
heights	Mr	Mr	PROPN
heights	.	.	PUNCT
heights	Heathcliff	Heathcliff	PROPN
heights	and	and	CCONJ
heights	I	I	PRON
heights	are	be	AUX
heights	such	such	ADJ
heights	a	a	DET
heights	suitable	suitable	ADJ
heights	pair	pair	NOUN
heights	to	to	PART
heights	divide	divide	VERB
heights	the	the	DET
heights	desolation	desolation	NOUN
heights	between	between	ADP
heights	us	we	PRON
heights	.	.	PUNCT
heights	A	a	DET
heights	capital	capital	NOUN
heights	fellow	fellow	ADJ
heights	!	!	PUNCT
heights	He	he	PRON
heights	little	little	ADJ
heights	imagined	imagine	ADJ
heights	how	how	ADV
heights	my	my	PRON
heights	heart	heart	NOUN
heights	warmed	warm	VERB
heights	towards	towards	ADP
heights	him	he	PRON
heights	when	when	ADV
heights	I	I	PRON
heights	beheld	beheld	VERB
heights	his	he	PRON
heights	black	black	ADJ
heights	eyes	eye	NOUN
heights	withdraw	withdraw	VERB
heights	so	so	ADV
heights	suspiciously	suspiciously	ADV
heights	under	under	ADP
heights	their	they	PRON
heights	brows	brows	NOUN
heights	,	,	PUNCT
heights	as	as	SCONJ
heights	I	I	PRON
heights	rode	ride	VERB
heights	up	up	ADP
heights	,	,	PUNCT
heights	and	and	CCONJ
heights	when	when	ADV
heights	his	he	PRON
heights	fingers	finger	NOUN
heights	sheltered	shelter	VERB
heights	themselves	themselves	PRON
heights	,	,	PUNCT
heights	with	with	ADP
heights	a	a	DET
heights	jealous	jealous	ADJ
heights	resolution	resolution	NOUN
heights	,	,	PUNCT
heights	still	still	ADV
heights	further	further	ADV
heights	in	in	ADP
heights	his	he	PRON
heights	waistcoat	waistcoat	NOUN
heights	,	,	PUNCT
