doc_id	token	lemma	upos
fear	THE	the	DET
fear	VALLEY	Valley	NOUN
fear	OF	of	ADP
fear	FEAR	fear	PROPN
fear	Part	part	PROPN
fear	1	1	NUM
fear	--	--	PUNCT
fear	The	the	DET
fear	Tragedy	tragedy	PROPN
fear	of	of	ADP
fear	Birlstone	Birlstone	PROPN
fear	Chapter	chapter	PROPN
fear	1	1	NUM
fear	--	--	PUNCT
fear	The	the	DET
fear	Warning	warning	NOUN
fear	"	"	PUNCT
fear	I	I	PRON
fear	am	be	AUX
fear	inclined	inclin	VERB
fear	to	to	PART
fear	think	think	VERB
fear	--	--	PUNCT
fear	"	"	PUNCT
fear	said	say	VERB
fear	I	I	PRON
fear	.	.	PUNCT
fear	"	"	PUNCT
fear	I	I	PRON
fear	should	should	AUX
fear	do	do	VERB
fear	so	so	ADV
fear	,	,	PUNCT
fear	"	"	PUNCT
fear	Sherlock	Sherlock	NOUN
fear	Holmes	Holme	AUX
fear	remarked	remark	VERB
fear	impatiently	impatiently	ADV
fear	.	.	PUNCT
fear	I	I	PRON
fear	believe	believe	VERB
fear	that	that	SCONJ
fear	I	I	PRON
fear	am	be	AUX
fear	one	one	NUM
fear	of	of	ADP
fear	the	the	DET
fear	most	most	ADJ
fear	long-suffering	long-suffering	NOUN
fear	of	of	ADP
fear	mortals	mortal	NOUN
fear	;	;	PUNCT
fear	but	but	CCONJ
fear	I	I	PRON
fear	'll	will	AUX
fear	admit	admit	VERB
fear	that	that	SCONJ
fear	I	I	PRON
fear	was	be	AUX
fear	annoyed	annoyed	ADJ
fear	at	at	ADP
fear	the	the	DET
fear	sardonic	sardonic	ADJ
fear	interruption	interruption	NOUN
fear	.	.	PUNCT
fear	"	"	PUNCT
fear	Really	really	ADV
fear	,	,	PUNCT
fear	Holmes	Holmes	PROPN
fear	,	,	PUNCT
fear	"	"	PUNCT
fear	said	say	VERB
fear	I	I	PRON
fear	severely	severely	ADV
fear	,	,	PUNCT
fear	"	"	PUNCT
fear	you	you	PRON
fear	are	be	AUX
fear	a	a	DET
fear	little	little	ADJ
fear	trying	try	VERB
fear	at	at	ADP
fear	times	time	NOUN
fear	.	.	PUNCT
fear	"	"	PUNCT
fear	He	he	PRON
fear	was	be	AUX
fear	too	too	ADV
fear	much	much	ADV
fear	absorbed	absorb	VERB
fear	with	with	ADP
fear	his	he	PRON
fear	own	own	ADJ
fear	thoughts	thought	NOUN
fear	to	to	PART
fear	give	give	VERB
fear	any	any	DET
fear	immediate	immediate	ADJ
fear	answer	answer	NOUN
fear	to	to	ADP
fear	my	my	PRON
fear	remonstrance	remonstrance	NOUN
fear	.	.	PUNCT
fear	He	he	PRON
fear	leaned	lean	VERB
fear	upon	upon	ADP
fear	his	he	PRON
fear	hand	hand	NOUN
fear	,	,	PUNCT
fear	with	with	ADP
fear	his	he	PRON
fear	untasted	untasted	ADJ
fear	breakfast	breakfast	NOUN
fear	before	before	ADP
fear	him	he	PRON
fear	,	,	PUNCT
fear	and	and	CCONJ
fear	he	he	PRON
fear	stared	star	VERB
fear	at	at	ADP
fear	the	the	DET
fear	slip	slip	NOUN
fear	of	of	ADP
fear	paper	paper	NOUN
fear	which	which	PRON
fear	he	he	PRON
fear	had	have	VERB
fear	just	just	ADV
fear	drawn	draw	ADV
fear	from	from	ADP
fear	its	its	PRON
fear	envelope	envelope	NOUN
fear	.	.	PUNCT
fear	Then	then	ADV
fear	he	he	PRON
