doc_id	token	lemma	upos
four	The	the	DET
four	Sign	sign	PROPN
four	of	of	ADP
four	the	the	DET
four	Four	Four	PROPN
four	Chapter	chapter	PROPN
four	I	I	PRON
four	The	the	DET
four	Science	Science	PROPN
four	of	of	ADP
four	Deduction	Deduction	PROPN
four	Sherlock	Sherlock	PROPN
four	Holmes	Holmes	PROPN
four	took	take	VERB
four	his	he	PRON
four	bottle	bottle	NOUN
four	from	from	ADP
four	the	the	DET
four	corner	corner	NOUN
four	of	of	ADP
four	the	the	DET
four	mantel-piece	mantel-piece	NOUN
four	and	and	CCONJ
four	his	he	PRON
four	hypodermic	hypodermic	ADJ
four	syringe	syringe	NOUN
four	from	from	ADP
four	its	its	PRON
four	neat	neat	ADJ
four	morocco	morocco	NOUN
four	case	case	NOUN
four	.	.	PUNCT
four	With	with	ADP
four	his	he	PRON
four	long	long	ADJ
four	,	,	PUNCT
four	white	white	ADJ
four	,	,	PUNCT
four	nervous	nervous	ADJ
four	fingers	finger	NOUN
four	he	he	PRON
four	adjusted	adjust	VERB
four	the	the	DET
four	delicate	delicate	ADJ
four	needle	needle	NOUN
four	,	,	PUNCT
four	and	and	CCONJ
four	rolled	roll	VERB
four	back	back	ADV
four	his	he	PRON
four	left	left	ADJ
four	shirt-cuff	shirt-cuff	NOUN
four	.	.	PUNCT
four	For	for	ADP
four	some	some	DET
four	little	little	ADJ
four	time	time	NOUN
four	his	he	PRON
four	eyes	eye	NOUN
four	rested	rest	VERB
four	thoughtfully	thoughtfully	ADV
four	upon	upon	ADP
four	the	the	DET
four	sinewy	sinewy	ADJ
four	forearm	forearm	NOUN
four	and	and	CCONJ
four	wrist	wrist	ADV
four	all	all	ADV
four	dotted	dot	VERB
four	and	and	CCONJ
four	scarred	scarr	VERB
four	with	with	ADP
four	innumerable	innumerable	ADJ
four	puncture-marks	puncture-mark	NOUN
four	.	.	PUNCT
four	Finally	finally	ADV
four	he	he	PRON
four	thrust	thrust	VERB
four	the	the	DET
four	sharp	sharp	ADJ
four	point	point	NOUN
four	home	home	NOUN
four	,	,	PUNCT
four	pressed	presse	VERB
four	down	down	ADP
four	the	the	DET
four	tiny	tiny	ADJ
four	piston	piston	NOUN
four	,	,	PUNCT
four	and	and	CCONJ
four	sank	sank	VERB
four	back	back	ADV
four	into	into	ADP
four	the	the	DET
