doc_id	token	lemma	upos
final	The	the	DET
final	Final	final	ADJ
final	Problem	problem	NOUN
final	It	it	PRON
final	is	be	AUX
final	with	with	ADP
final	a	a	DET
final	heavy	heavy	ADJ
final	heart	heart	NOUN
final	that	that	PRON
final	I	I	PRON
final	take	take	VERB
final	up	up	ADP
final	my	my	PRON
final	pen	pen	NOUN
final	to	to	PART
final	write	write	VERB
final	these	these	DET
final	the	the	DET
final	last	last	ADJ
final	words	word	NOUN
final	in	in	ADP
final	which	which	PRON
final	I	I	PRON
final	shall	shall	AUX
final	ever	ever	ADV
final	record	record	VERB
final	the	the	DET
final	singular	singular	ADJ
final	gifts	gift	NOUN
final	by	by	ADP
final	which	which	PRON
final	my	my	PRON
final	friend	friend	NOUN
final	Mr	Mr	PROPN
final	.	.	PUNCT
final	Sherlock	Sherlock	PROPN
final	Holmes	Holmes	PROPN
final	was	be	AUX
final	distinguished	distinguished	ADJ
final	.	.	PUNCT
final	In	in	ADP
final	an	a	DET
final	incoherent	incoherent	NOUN
final	and	and	CCONJ
final	,	,	PUNCT
final	as	as	SCONJ
final	I	I	PRON
final	deeply	deeply	ADV
final	feel	feel	VERB
final	,	,	PUNCT
final	an	a	DET
final	entirely	entirely	ADV
final	inadequate	inadequate	ADJ
final	fashion	fashion	NOUN
final	,	,	PUNCT
final	I	I	PRON
final	have	have	AUX
final	endeavored	endeavor	VERB
final	to	to	PART
final	give	give	VERB
final	some	some	DET
final	account	account	NOUN
final	of	of	ADP
final	my	my	PRON
final	strange	strange	ADJ
final	experiences	experience	NOUN
final	in	in	ADP
final	his	he	PRON
final	company	company	NOUN
final	from	from	ADP
final	the	the	DET
final	chance	chance	NOUN
final	which	which	PRON
final	first	first	ADV
final	brought	bring	VERB
final	us	we	PRON
final	together	together	ADV
final	at	at	ADP
final	the	the	DET
final	period	period	NOUN
final	of	of	ADP
final	the	the	DET
final	“	"	PUNCT
final	Study	study	NOUN
final	in	in	ADP
final	Scarlet	Scarlet	PROPN
final	,	,	PUNCT
final	”	"	PUNCT
final	up	up	ADV
final	to	to	ADP
final	the	the	DET
final	time	time	NOUN
final	of	of	ADP
final	his	he	PRON
final	interference	interference	NOUN
final	in	in	ADP
final	the	the	DET
final	matter	matter	NOUN
final	of	of	ADP
final	the	the	DET
final	“	"	PUNCT
final	Naval	Naval	ADJ
final	Treaty	Treaty	NOUN
final	”	"	PUNCT
final	--	--	PUNCT
final	an	a	DET
final	interference	interference	NOUN
final	which	which	PRON
final	had	have	VERB
final	the	the	DET
final	unquestionable	unquestionable	ADJ
final	effect	effect	NOUN
final	of	of	SCONJ
final	preventing	prevent	VERB
final	a	a	DET
final	serious	serious	ADJ
final	international	international	ADJ
final	complication	complication	NOUN
final	.	.	PUNCT
final	It	it	PRON
final	was	be	AUX
final	my	my	PRON
final	intention	intention	NOUN
final	to	to	PART
final	have	have	AUX
final	stopped	stop	VERB
final	there	there	ADV
final	,	,	PUNCT
final	and	and	CCONJ
final	to	to	PART
final	have	have	AUX
final	said	say	VERB
final	nothing	nothing	PRON
final	of	of	ADP
final	that	that	DET
final	event	event	NOUN
final	which	which	PRON
final	has	have	AUX
final	created	create	VERB
final	a	a	DET
final	void	void	NOUN
final	in	in	ADP
final	my	my	PRON
final	life	life	NOUN
final	which	which	PRON
final	the	the	DET
final	lapse	lapse	NOUN
final	of	of	ADP
final	two	two	NUM
final	years	year	NOUN
final	has	have	AUX
final	done	do	VERB
final	little	little	ADJ
final	to	to	PART
final	fill	fill	VERB
final	.	.	PUNCT
final	My	my	PRON
final	hand	hand	NOUN
final	has	have	AUX
final	been	be	AUX
final	forced	force	VERB
final	,	,	PUNCT
final	however	however	ADV
final	,	,	PUNCT
final	by	by	ADP
final	the	the	DET
final	recent	recent	ADJ
final	letters	letter	NOUN
final	in	in	ADP
final	which	which	PRON
final	Colonel	Colonel	PROPN
final	James	James	PROPN
final	Moriarty	Moriarty	PROPN
final	defends	defend	VERB
final	the	the	DET
final	memory	memory	NOUN
final	of	of	ADP
final	his	he	PRON
final	brother	brother	NOUN
final	,	,	PUNCT
final	and	and	CCONJ
final	I	I	PRON
final	have	have	VERB
final	no	no	DET
final	choice	choice	NOUN
final	but	but	SCONJ
final	to	to	PART
final	lay	lay	VERB
final	the	the	DET
final	facts	fact	NOUN
final	before	before	ADP
final	the	the	DET
final	public	public	ADJ
final	exactly	exactly	ADV
final	as	as	SCONJ
final	they	they	PRON
final	occurred	occur	VERB
final	.	.	PUNCT
final	I	I	PRON
final	alone	alone	ADV
final	know	know	VERB
final	the	the	DET
final	absolute	absolute	ADJ
final	truth	truth	NOUN
final	of	of	ADP
final	the	the	DET
final	matter	matter	NOUN
final	,	,	PUNCT
final	and	and	CCONJ
final	I	I	PRON
final	am	be	AUX
final	satisfied	satisfied	ADJ
final	that	that	SCONJ
final	the	the	DET
final	time	time	NOUN
final	has	have	AUX
final	come	come	VERB
final	when	when	ADV
final	no	no	DET
final	good	good	ADJ
final	purpose	purpose	NOUN
final	is	be	VERB
final	to	to	PART
final	be	be	AUX
final	served	serve	VERB
final	by	by	ADP
final	its	its	PRON
final	suppression	suppression	NOUN
final	.	.	PUNCT
final	As	as	ADV
final	far	far	ADV
final	as	as	SCONJ
final	I	I	PRON
final	know	know	VERB
final	,	,	PUNCT
final	there	there	PRON
final	have	have	AUX
final	been	be	VERB
final	only	only	ADV
final	three	three	NUM
final	accounts	account	NOUN
final	in	in	ADP
final	the	the	DET
final	public	public	ADJ
final	press	press	NOUN
final	:	:	PUNCT
final	that	that	PRON
final	in	in	ADP
final	the	the	DET
final	Journal	journal	PROPN
final	de	de	PROPN
final	Geneve	Geneve	PROPN
final	on	on	ADP
final	May	May	PROPN
final	6th	6th	NOUN
final	,	,	PUNCT
final	1891	1891	NUM
final	,	,	PUNCT
final	the	the	DET
final	Reuter	Reuter	PROPN
final	's	's	PART
final	despatch	despatch	NOUN
final	in	in	ADP
final	the	the	DET
final	English	english	ADJ
final	papers	papers	NOUN
final	on	on	ADP
final	May	May	PROPN
final	7th	7th	NOUN
final	,	,	PUNCT
final	and	and	CCONJ
final	finally	finally	ADV
final	the	the	DET
final	recent	recent	ADJ
