doc_id	token	lemma	upos
reigate	The	the	DET
reigate	Reigate	Reigate	PROPN
reigate	Puzzle	Puzzle	PROPN
reigate	It	it	PRON
reigate	was	be	AUX
reigate	some	some	DET
reigate	time	time	NOUN
reigate	before	before	SCONJ
reigate	the	the	DET
reigate	health	health	NOUN
reigate	of	of	ADP
reigate	my	my	PRON
reigate	friend	friend	NOUN
reigate	Mr	Mr	PROPN
reigate	.	.	PUNCT
reigate	Sherlock	Sherlock	PROPN
reigate	Holmes	Holmes	PROPN
reigate	recovered	recovere	VERB
reigate	from	from	ADP
reigate	the	the	DET
reigate	strain	strain	NOUN
reigate	caused	cause	VERB
reigate	by	by	ADP
reigate	his	he	PRON
reigate	immense	immense	ADJ
reigate	exertions	exertion	NOUN
reigate	in	in	ADP
reigate	the	the	DET
reigate	spring	spring	NOUN
reigate	of	of	ADP
reigate	'	'	PUNCT
reigate	87	87	NUM
reigate	.	.	PUNCT
reigate	The	the	DET
reigate	whole	whole	ADJ
reigate	question	question	NOUN
reigate	of	of	ADP
reigate	the	the	DET
reigate	Netherland-Sumatra	Netherland-Sumatra	PROPN
reigate	Company	company	PROPN
reigate	and	and	CCONJ
reigate	of	of	ADP
reigate	the	the	DET
reigate	colossal	colossal	ADJ
reigate	schemes	scheme	NOUN
reigate	of	of	ADP
reigate	Baron	Baron	PROPN
reigate	Maupertuis	Maupertuis	PROPN
reigate	are	be	AUX
reigate	too	too	ADV
reigate	recent	recent	ADJ
reigate	in	in	ADP
reigate	the	the	DET
reigate	minds	mind	NOUN
reigate	of	of	ADP
reigate	the	the	DET
reigate	public	public	ADJ
reigate	,	,	PUNCT
reigate	and	and	CCONJ
reigate	are	be	AUX
reigate	too	too	ADV
reigate	intimately	intimately	ADV
reigate	concerned	concerned	ADJ
reigate	with	with	ADP
reigate	politics	politics	NOUN
reigate	and	and	CCONJ
reigate	finance	finance	NOUN
reigate	to	to	PART
reigate	be	be	AUX
reigate	fitting	fit	ADJ
reigate	subjects	subject	NOUN
reigate	for	for	ADP
reigate	this	this	DET
reigate	series	series	NOUN
reigate	of	of	ADP
reigate	sketches	sketch	NOUN
reigate	.	.	PUNCT
reigate	They	they	PRON
reigate	led	lead	VERB
reigate	,	,	PUNCT
reigate	however	however	ADV
reigate	,	,	PUNCT
reigate	in	in	ADP
reigate	an	a	DET
reigate	indirect	indirect	ADJ
reigate	fashion	fashion	NOUN
reigate	to	to	ADP
reigate	a	a	DET
reigate	singular	singular	ADJ
reigate	and	and	CCONJ
reigate	complex	complex	ADJ
reigate	problem	problem	NOUN
reigate	which	which	PRON
reigate	gave	give	VERB
reigate	my	my	PRON
reigate	friend	friend	NOUN
reigate	an	a	DET
reigate	opportunity	opportunity	NOUN
reigate	of	of	SCONJ
reigate	demonstrating	demonstrate	VERB
reigate	the	the	DET
reigate	value	value	NOUN
reigate	of	of	ADP
reigate	a	a	DET
reigate	fresh	fresh	ADJ
reigate	weapon	weapon	NOUN
reigate	among	among	ADP
reigate	the	the	DET
reigate	many	many	ADJ
reigate	with	with	ADP
reigate	which	which	PRON
reigate	he	he	PRON
reigate	waged	wage	VERB
reigate	his	he	PRON
reigate	life-long	life-long	ADJ
reigate	battle	battle	NOUN
reigate	against	against	ADP
reigate	crime	crime	NOUN
reigate	.	.	PUNCT
reigate	On	on	SCONJ
reigate	referring	refer	VERB
reigate	to	to	ADP
reigate	my	my	PRON
reigate	notes	note	NOUN
reigate	I	I	PRON
reigate	see	see	VERB
reigate	that	that	SCONJ
reigate	it	it	PRON
reigate	was	be	AUX
reigate	upon	upon	ADP
reigate	the	the	DET
reigate	14th	14th	NOUN
reigate	of	of	ADP
reigate	April	April	PROPN
reigate	that	that	PRON
reigate	I	I	PRON
reigate	received	receive	VERB
reigate	a	a	DET
reigate	telegram	telegram	NOUN
reigate	from	from	ADP
reigate	Lyons	Lyons	NOUN
reigate	which	which	PRON
reigate	informed	inform	VERB
reigate	me	I	PRON
reigate	that	that	SCONJ
reigate	Holmes	Holmes	PROPN
reigate	was	be	AUX
reigate	lying	lie	VERB
reigate	ill	ill	ADJ
reigate	in	in	ADP
reigate	the	the	DET
reigate	Hotel	hotel	PROPN
reigate	Dulong	Dulong	PROPN
reigate	.	.	PUNCT
reigate	Within	within	ADP
reigate	twenty-four	twenty-four	NUM
reigate	hours	hour	NOUN
reigate	I	I	PRON
reigate	was	be	AUX
reigate	in	in	ADP
reigate	his	he	PRON
reigate	sick-room	sick-room	NOUN
reigate	,	,	PUNCT
reigate	and	and	CCONJ
reigate	was	be	AUX
reigate	relieved	relieved	ADJ
reigate	to	to	PART
reigate	find	find	VERB
reigate	that	that	SCONJ
reigate	there	there	PRON
reigate	was	be	VERB
reigate	nothing	nothing	PRON
reigate	formidable	formidable	ADJ
reigate	in	in	ADP
reigate	his	he	PRON
reigate	symptoms	symptom	NOUN
reigate	.	.	PUNCT
reigate	Even	even	ADV
reigate	his	he	PRON
reigate	iron	iron	ADJ
reigate	constitution	constitution	NOUN
reigate	,	,	PUNCT
reigate	however	however	ADV
reigate	,	,	PUNCT
reigate	had	have	AUX
reigate	broken	break	VERB
reigate	down	down	ADV
reigate	under	under	ADP
reigate	the	the	DET
reigate	strain	strain	NOUN
reigate	of	of	ADP
reigate	an	a	DET
reigate	investigation	investigation	NOUN
reigate	which	which	PRON
reigate	had	have	AUX
reigate	extended	extend	VERB
reigate	over	over	ADV
reigate	two	two	NUM
reigate	months	month	NOUN
reigate	,	,	PUNCT
reigate	during	during	ADP
reigate	which	which	DET
reigate	period	period	NOUN
reigate	he	he	PRON
reigate	had	have	AUX
reigate	never	never	ADV
reigate	worked	work	VERB
reigate	less	less	ADV
reigate	than	than	ADP
reigate	fifteen	fifteen	NUM
reigate	hours	hour	NOUN
reigate	a	a	DET
reigate	day	day	NOUN
reigate	,	,	PUNCT
reigate	and	and	CCONJ
reigate	had	have	VERB
reigate	more	more	ADJ
reigate	than	than	ADP
reigate	once	once	ADV
reigate	,	,	PUNCT
reigate	as	as	SCONJ
reigate	he	he	PRON
reigate	assured	assure	VERB
reigate	me	I	PRON
reigate	,	,	PUNCT
reigate	kept	keep	VERB
reigate	to	to	ADP
reigate	his	he	PRON
reigate	task	task	NOUN
reigate	for	for	ADP
reigate	five	five	NUM
reigate	days	day	NOUN
reigate	at	at	ADP
reigate	a	a	DET
reigate	stretch	stretch	NOUN
reigate	.	.	PUNCT
reigate	Even	even	ADV
reigate	the	the	DET
reigate	triumphant	triumphant	NOUN
reigate	issue	issue	NOUN
reigate	of	of	ADP
reigate	his	he	PRON
reigate	labors	labors	NOUN
reigate	could	could	AUX
reigate	not	not	PART
reigate	save	save	VERB
reigate	him	he	PRON
reigate	from	from	ADP
reigate	reaction	reaction	NOUN
reigate	after	after	ADP
reigate	so	so	ADV
reigate	terrible	terrible	ADJ
reigate	an	a	DET
reigate	exertion	exertion	NOUN
reigate	,	,	PUNCT
reigate	and	and	CCONJ
reigate	at	at	ADP
reigate	a	a	DET
reigate	time	time	NOUN
reigate	when	when	ADV
reigate	Europe	Europe	PROPN
reigate	was	be	AUX
reigate	ringing	ring	VERB
reigate	with	with	ADP
reigate	his	he	PRON
reigate	name	name	NOUN
reigate	and	and	CCONJ
reigate	when	when	ADV
reigate	his	he	PRON
reigate	room	room	NOUN
reigate	was	be	AUX
reigate	literally	literally	ADV
reigate	ankle-deep	ankle-deep	ADJ
reigate	with	with	ADP
reigate	congratulatory	congratulatory	ADJ
reigate	telegrams	telegram	NOUN
reigate	I	I	PRON
reigate	found	find	VERB
reigate	him	he	PRON
reigate	a	a	DET
reigate	prey	prey	NOUN
reigate	to	to	ADP
reigate	the	the	DET
reigate	blackest	blackest	ADJ
reigate	depression	depression	NOUN
reigate	.	.	PUNCT
reigate	Even	even	ADV
reigate	the	the	DET
reigate	knowledge	knowledge	NOUN
reigate	that	that	SCONJ
reigate	he	he	PRON
reigate	had	have	AUX
reigate	succeeded	succeed	VERB
reigate	where	where	ADV
reigate	the	the	DET
reigate	police	police	NOUN
reigate	of	of	ADP
reigate	three	three	NUM
reigate	countries	country	NOUN
reigate	had	have	AUX
reigate	failed	fail	VERB
reigate	,	,	PUNCT
reigate	and	and	CCONJ
reigate	that	that	SCONJ
reigate	he	he	PRON
reigate	had	have	AUX
reigate	outmanoeuvred	outmanoeuvr	VERB
reigate	at	at	ADP
reigate	every	every	DET
reigate	point	point	NOUN
reigate	the	the	DET
reigate	most	most	ADV
reigate	accomplished	accomplished	ADJ
reigate	swindler	swindler	NOUN
reigate	in	in	ADP
reigate	Europe	Europe	PROPN
reigate	,	,	PUNCT
reigate	was	be	AUX
reigate	insufficient	insufficient	ADJ
reigate	to	to	PART
reigate	rouse	rouse	VERB
reigate	him	he	PRON
reigate	from	from	ADP
reigate	his	he	PRON
reigate	nervous	nervous	ADJ
reigate	prostration	prostration	NOUN
reigate	.	.	PUNCT
reigate	Three	Three	NUM
reigate	days	day	NOUN
reigate	later	later	ADV
reigate	we	we	PRON
reigate	were	be	AUX
reigate	back	back	ADV
reigate	in	in	ADP
reigate	Baker	baker	PROPN
reigate	Street	Street	PROPN
reigate	together	together	ADV
reigate	;	;	PUNCT
reigate	but	but	CCONJ
reigate	it	it	PRON
reigate	was	be	AUX
reigate	evident	evident	ADJ
reigate	that	that	SCONJ
reigate	my	my	PRON
reigate	friend	friend	NOUN
reigate	would	would	AUX
reigate	be	be	AUX
reigate	much	much	ADV
reigate	the	the	DET
reigate	better	better	ADJ
reigate	for	for	ADP
reigate	a	a	DET
reigate	change	change	NOUN
reigate	,	,	PUNCT
reigate	and	and	CCONJ
reigate	the	the	DET
reigate	thought	thought	NOUN
reigate	of	of	ADP
reigate	a	a	DET
reigate	week	week	NOUN
reigate	of	of	ADP
reigate	spring	spring	NOUN
reigate	time	time	NOUN
reigate	in	in	ADP
reigate	the	the	DET
reigate	country	country	NOUN
reigate	was	be	AUX
reigate	full	full	ADJ
reigate	of	of	ADP
reigate	attractions	attraction	NOUN
reigate	to	to	ADP
reigate	me	I	PRON
reigate	also	also	ADV
reigate	.	.	PUNCT
reigate	My	my	PRON
reigate	old	old	ADJ
reigate	friend	friend	NOUN
reigate	,	,	PUNCT
reigate	Colonel	Colonel	PROPN
reigate	Hayter	Hayter	PROPN
reigate	,	,	PUNCT
reigate	who	who	PRON
reigate	had	have	AUX
reigate	come	come	VERB
reigate	under	under	ADP
reigate	my	my	PRON
reigate	professional	professional	ADJ
reigate	care	care	NOUN
reigate	in	in	ADP
reigate	Afghanistan	Afghanistan	PROPN
reigate	,	,	PUNCT
reigate	had	have	AUX
reigate	now	now	ADV
reigate	taken	take	VERB
reigate	a	a	DET
reigate	house	house	NOUN
