doc_id	token	lemma	upos
scarlet	A	a	DET
scarlet	STUDY	study	NOUN
scarlet	IN	in	ADP
scarlet	SCARLET	SCARLET	PROPN
scarlet	.	.	PUNCT
scarlet	PART	pbe	X
scarlet	I	I	PRON
scarlet	.	.	PUNCT
scarlet	(	(	PUNCT
scarlet	Being	be	AUX
scarlet	a	a	DET
scarlet	reprint	reprint	NOUN
scarlet	from	from	ADP
scarlet	the	the	DET
scarlet	reminiscences	reminiscence	NOUN
scarlet	of	of	ADP
scarlet	JOHN	JOHN	PROPN
scarlet	H	h	PROPN
scarlet	.	.	PUNCT
scarlet	WATSON	Watson	PROPN
scarlet	,	,	PUNCT
scarlet	M	m	PROPN
scarlet	.	.	PUNCT
scarlet	D	D	PROPN
scarlet	.	.	PUNCT
scarlet	,	,	PUNCT
scarlet	late	late	ADV
scarlet	of	of	ADP
scarlet	the	the	DET
scarlet	Army	Army	PROPN
scarlet	Medical	Medical	PROPN
scarlet	Department	Department	PROPN
scarlet	.	.	PUNCT
scarlet	)	)	PUNCT
scarlet	[	[	PUNCT
scarlet	2	2	X
scarlet	]	]	PUNCT
scarlet	CHAPTER	chapter	NOUN
scarlet	I	I	PRON
scarlet	.	.	PUNCT
scarlet	MR	Mr	PROPN
scarlet	.	.	PUNCT
scarlet	SHERLOCK	Sherlock	PROPN
scarlet	HOLMES	Holme	PROPN
scarlet	.	.	PUNCT
scarlet	IN	in	ADP
scarlet	the	the	DET
scarlet	year	year	NOUN
scarlet	1878	1878	NUM
scarlet	I	I	PRON
scarlet	took	take	VERB
scarlet	my	my	PRON
scarlet	degree	degree	NOUN
scarlet	of	of	ADP
scarlet	Doctor	Doctor	PROPN
scarlet	of	of	ADP
scarlet	Medicine	Medicine	PROPN
scarlet	of	of	ADP
scarlet	the	the	DET
scarlet	University	University	PROPN
scarlet	of	of	ADP
scarlet	London	London	PROPN
scarlet	,	,	PUNCT
scarlet	and	and	CCONJ
scarlet	proceeded	proceed	VERB
scarlet	to	to	ADP
scarlet	Netley	Netley	PROPN
scarlet	to	to	PART
scarlet	go	go	VERB
scarlet	through	through	ADP
scarlet	the	the	DET
scarlet	course	course	NOUN
scarlet	prescribed	prescribe	VERB
scarlet	for	for	ADP
scarlet	surgeons	surgeon	NOUN
scarlet	in	in	ADP
scarlet	the	the	DET
scarlet	army	army	NOUN
scarlet	.	.	PUNCT
scarlet	Having	have	AUX
scarlet	completed	complete	VERB
