doc_id	token	lemma	upos
morgue	THE	the	DET
morgue	MURDERS	murder	NOUN
morgue	IN	in	ADP
morgue	THE	the	DET
morgue	RUE	Rue	PROPN
morgue	MORGUE	Morgue	PROPN
morgue	What	what	DET
morgue	song	song	NOUN
morgue	the	the	DET
morgue	Syrens	Syrens	PROPN
morgue	sang	sang	NOUN
morgue	,	,	PUNCT
morgue	or	or	CCONJ
morgue	what	what	PRON
morgue	name	name	DET
morgue	Achilles	Achilles	NOUN
morgue	assumed	assume	VERB
morgue	when	when	ADV
morgue	he	he	PRON
morgue	hid	hide	VERB
morgue	himself	himself	PRON
morgue	among	among	ADP
morgue	women	woman	NOUN
morgue	,	,	PUNCT
morgue	although	although	SCONJ
morgue	puzzling	puzzl	VERB
morgue	questions	question	NOUN
morgue	,	,	PUNCT
morgue	are	be	AUX
morgue	not	not	PART
morgue	beyond	beyond	ADV
morgue	all	all	DET
morgue	conjecture	conjecture	NOUN
morgue	.	.	PUNCT
morgue	--	--	PUNCT
morgue	Sir	Sir	PROPN
morgue	Thomas	Thomas	PROPN
morgue	Browne	Browne	PROPN
morgue	.	.	PUNCT
morgue	The	the	DET
morgue	mental	mental	ADJ
morgue	features	feature	NOUN
morgue	discoursed	discourse	VERB
morgue	of	of	ADP
morgue	as	as	ADP
morgue	the	the	DET
morgue	analytical	analytical	ADJ
morgue	,	,	PUNCT
morgue	are	be	AUX
morgue	,	,	PUNCT
morgue	in	in	ADP
morgue	themselves	themselves	PRON
morgue	,	,	PUNCT
morgue	but	but	CCONJ
morgue	little	little	ADJ
morgue	susceptible	susceptible	ADJ
morgue	of	of	ADP
morgue	analysis	analysis	NOUN
morgue	.	.	PUNCT
morgue	We	we	PRON
morgue	appreciate	appreciate	VERB
morgue	them	they	PRON
morgue	only	only	ADV
morgue	in	in	ADP
morgue	their	they	PRON
morgue	effects	effect	NOUN
morgue	.	.	PUNCT
morgue	We	we	PRON
morgue	know	know	VERB
morgue	of	of	ADP
morgue	them	they	PRON
morgue	,	,	PUNCT
morgue	among	among	ADP
morgue	other	other	ADJ
morgue	things	thing	NOUN
morgue	,	,	PUNCT
morgue	that	that	SCONJ
morgue	they	they	PRON
morgue	are	be	AUX
morgue	always	always	ADV
morgue	to	to	ADP
morgue	their	they	PRON
morgue	possessor	possessor	NOUN
morgue	,	,	PUNCT
morgue	when	when	ADV
morgue	inordinately	inordinately	ADV
morgue	possessed	possess	VERB
morgue	,	,	PUNCT
morgue	a	a	DET
morgue	source	source	NOUN
morgue	of	of	ADP
morgue	the	the	DET
morgue	liveliest	liveliest	ADJ
morgue	enjoyment	enjoyment	NOUN
morgue	.	.	PUNCT
morgue	As	as	SCONJ
morgue	the	the	DET
morgue	strong	strong	ADJ
morgue	man	man	NOUN
morgue	exults	exult	NOUN
morgue	in	in	ADP
morgue	his	he	PRON
morgue	physical	physical	ADJ
morgue	ability	ability	NOUN
morgue	,	,	PUNCT
morgue	delighting	delighte	VERB
morgue	in	in	ADP
morgue	such	such	ADJ
morgue	exercises	exercise	NOUN
morgue	as	as	ADP
morgue	call	call	NOUN
