doc_id	token	lemma	upos
purloined	THE	the	DET
purloined	PURLOINED	pURLOINEd	PROPN
purloined	LETTER	letter	PROPN
purloined	Nil	Nil	PROPN
purloined	sapientiae	sapientiae	VERB
purloined	odiosius	odiosius	ADP
purloined	acumine	acumine	NUM
purloined	nimio	nimio	NOUN
purloined	.	.	PUNCT
purloined	Seneca	Seneca	PROPN
purloined	.	.	PUNCT
purloined	At	at	ADP
purloined	Paris	Paris	PROPN
purloined	,	,	PUNCT
purloined	just	just	ADV
purloined	after	after	ADP
purloined	dark	dark	ADJ
purloined	one	one	NUM
purloined	gusty	gusty	NOUN
purloined	evening	evening	NOUN
purloined	in	in	ADP
purloined	the	the	DET
purloined	autumn	autumn	NOUN
purloined	of	of	ADP
purloined	18	18	NUM
purloined	-	-	PUNCT
purloined	,	,	PUNCT
purloined	I	I	PRON
purloined	was	be	AUX
purloined	enjoying	enjoy	VERB
purloined	the	the	DET
purloined	twofold	twofold	NOUN
purloined	luxury	luxury	NOUN
purloined	of	of	ADP
purloined	meditation	meditation	NOUN
purloined	and	and	CCONJ
purloined	a	a	DET
purloined	meerschaum	meerschaum	NOUN
purloined	,	,	PUNCT
purloined	in	in	ADP
purloined	company	company	NOUN
purloined	with	with	ADP
purloined	my	my	PRON
purloined	friend	friend	NOUN
purloined	C	C	PROPN
purloined	.	.	PUNCT
purloined	Auguste	Auguste	PROPN
purloined	Dupin	Dupin	PROPN
purloined	,	,	PUNCT
purloined	in	in	ADP
purloined	his	he	PRON
purloined	little	little	ADJ
purloined	back	back	ADV
purloined	library	library	ADJ
purloined	,	,	PUNCT
purloined	or	or	CCONJ
purloined	book-closet	book-closet	NOUN
purloined	,	,	PUNCT
purloined	au	au	PRON
purloined	troisiême	troisiême	VERB
purloined	,	,	PUNCT
purloined	No	no	INTJ
purloined	.	.	PUNCT
purloined	33	33	NUM
purloined	,	,	PUNCT
purloined	Rue	Rue	PROPN
purloined	Dunôt	Dunôt	PROPN
purloined	,	,	PUNCT
purloined	Faubourg	Faubourg	PROPN
purloined	St	St	PROPN
purloined	.	.	PUNCT
purloined	Germain	Germain	PROPN
purloined	.	.	PUNCT
purloined	For	for	ADP
purloined	one	one	NUM
purloined	hour	hour	NOUN
purloined	at	at	ADV
purloined	least	least	ADV
purloined	we	we	PRON
purloined	had	have	AUX
purloined	maintained	maintain	VERB
purloined	a	a	DET
purloined	profound	profound	ADJ
purloined	silence	silence	NOUN
purloined	;	;	PUNCT
purloined	while	while	SCONJ
purloined	each	each	DET
purloined	,	,	PUNCT
purloined	to	to	ADP
purloined	any	any	DET
purloined	casual	casual	ADJ
purloined	observer	observer	NOUN
purloined	,	,	PUNCT
purloined	might	might	AUX
purloined	have	have	AUX
purloined	seemed	see	VERB
purloined	intently	intently	ADV
purloined	and	and	CCONJ
purloined	exclusively	exclusively	ADV
purloined	occupied	occupy	VERB
purloined	with	with	ADP
purloined	the	the	DET
purloined	curling	curling	NOUN
purloined	eddies	eddy	NOUN
purloined	of	of	ADP
purloined	smoke	smoke	NOUN
purloined	that	that	PRON
purloined	oppressed	oppress	VERB
purloined	the	the	DET
purloined	atmosphere	atmosphere	NOUN
purloined	of	of	ADP
purloined	the	the	DET
purloined	chamber	chamber	NOUN
purloined	.	.	PUNCT
