doc_id	token	lemma	upos
usher	THE	the	DET
usher	FALL	fall	NOUN
usher	OF	of	ADP
usher	THE	the	DET
usher	HOUSE	House	NOUN
usher	OF	of	ADP
usher	USHER	USHER	PROPN
usher	Son	son	PROPN
usher	coeur	coeur	NOUN
usher	est	est	ADJ
usher	un	un	ADJ
usher	luth	luth	NOUN
usher	suspendu	suspendu	NOUN
usher	;	;	PUNCT
usher	Sitôt	Sitôt	VERB
usher	qu'on	qu'on	NOUN
usher	le	le	SCONJ
usher	touche	touco	DET
usher	il	il	ADJ
usher	rèsonne	rèsonne	NOUN
usher	.	.	PUNCT
usher	.	.	PUNCT
usher	De	De	PROPN
usher	Béranger	Béranger	PROPN
usher	.	.	PUNCT
usher	DURING	during	VERB
usher	the	the	DET
usher	whole	whole	NOUN
usher	of	of	ADP
usher	a	a	DET
usher	dull	dull	NOUN
usher	,	,	PUNCT
usher	dark	dark	NOUN
usher	,	,	PUNCT
usher	and	and	CCONJ
usher	soundless	soundless	ADJ
usher	day	day	NOUN
usher	in	in	ADP
usher	the	the	DET
usher	autumn	autumn	NOUN
usher	of	of	ADP
usher	the	the	DET
usher	year	year	NOUN
usher	,	,	PUNCT
usher	when	when	ADV
usher	the	the	DET
usher	clouds	cloud	NOUN
usher	hung	hang	VERB
usher	oppressively	oppressively	ADV
usher	low	low	ADV
usher	in	in	ADP
usher	the	the	DET
usher	heavens	heaven	NOUN
usher	,	,	PUNCT
usher	I	I	PRON
usher	had	have	AUX
usher	been	be	AUX
usher	passing	pass	VERB
usher	alone	alone	ADV
usher	,	,	PUNCT
usher	on	on	ADP
usher	horseback	horseback	NOUN
usher	,	,	PUNCT
usher	through	through	ADP
usher	a	a	DET
usher	singularly	singularly	ADV
usher	dreary	dreary	ADJ
usher	tract	tract	NOUN
usher	of	of	ADP
usher	country	country	NOUN
usher	;	;	PUNCT
usher	and	and	CCONJ
usher	at	at	ADP
usher	length	length	NOUN
usher	found	find	VERB
usher	myself	myself	PRON
usher	,	,	PUNCT
usher	as	as	SCONJ
usher	the	the	DET
usher	shades	shade	NOUN
usher	of	of	ADP
usher	the	the	DET
usher	evening	evening	NOUN
usher	drew	draw	NOUN
usher	on	on	ADV
usher	,	,	PUNCT
usher	within	within	ADP
usher	view	view	NOUN
usher	of	of	ADP
usher	the	the	DET
usher	melancholy	melancholy	ADJ
usher	House	House	PROPN
usher	of	of	ADP
usher	Usher	Usher	PROPN
usher	.	.	PUNCT
usher	I	I	PRON
usher	know	know	VERB
usher	not	not	PART
usher	how	how	ADV
usher	it	it	PRON
usher	was	be	VERB
usher	--	--	PUNCT
usher	but	but	CCONJ
usher	,	,	PUNCT
usher	with	with	ADP
usher	the	the	DET
usher	first	first	ADJ
usher	glimpse	glimpse	NOUN
usher	of	of	ADP
usher	the	the	DET
usher	building	building	NOUN
usher	,	,	PUNCT
usher	a	a	DET
usher	sense	sense	NOUN
usher	of	of	ADP
usher	insufferable	insufferable	ADJ
usher	gloom	gloom	NOUN
usher	pervaded	pervad	VERB
usher	my	my	PRON
usher	spirit	spirit	NOUN
usher	.	.	PUNCT
usher	I	I	PRON
usher	say	say	VERB
usher	insufferable	insufferable	ADJ
usher	;	;	PUNCT
usher	for	for	ADP
usher	the	the	DET
usher	feeling	feeling	NOUN
usher	was	be	AUX
usher	unrelieved	unrelieve	ADJ
usher	by	by	ADP
usher	any	any	DET
usher	of	of	ADP
usher	that	that	PRON
usher	half-pleasurable	half-pleasurable	ADJ
usher	,	,	PUNCT
usher	because	because	SCONJ
usher	poetic	poetic	ADJ
usher	,	,	PUNCT
usher	sentiment	sentiment	NOUN
usher	,	,	PUNCT
usher	with	with	ADP
usher	which	which	PRON
usher	the	the	DET
usher	mind	mind	NOUN
usher	usually	usually	ADV
usher	receives	receive	VERB
usher	even	even	ADV
usher	the	the	DET
usher	sternest	sternest	ADJ
usher	natural	natural	ADJ
usher	images	image	NOUN
usher	of	of	ADP
usher	the	the	DET
usher	desolate	desolate	NOUN
usher	or	or	CCONJ
usher	terrible	terrible	ADJ
usher	.	.	PUNCT
usher	I	I	PRON
usher	looked	look	VERB
usher	upon	upon	ADP
usher	the	the	DET
usher	scene	scene	NOUN
usher	before	before	ADP
usher	me	I	PRON
usher	--	--	PUNCT
